,date,code,name,weight
247,2018-02-27,002241,歌尔股份,0.25
248,2018-02-27,002252,上海莱士,0.25
249,2018-02-27,002292,奥飞娱乐,0.05
250,2018-02-27,002294,信立泰,0.14
251,2018-02-27,002304,洋河股份,0.65
252,2018-02-27,002310,东方园林,0.21
253,2018-02-27,002352,顺丰控股,0.1
254,2018-02-27,002385,大北农,0.11
255,2018-02-27,002411,必康股份,0.07
256,2018-02-27,002415,海康威视,1.33
257,2018-02-27,002424,贵州百灵,0.05
258,2018-02-27,002426,胜利精密,0.1
259,2018-02-27,002450,康得新,0.36
260,2018-02-27,002456,欧菲科技,0.35
261,2018-02-27,002460,赣锋锂业,0.31
262,2018-02-27,002465,海格通信,0.14
263,2018-02-27,002466,天齐锂业,0.34
264,2018-02-27,002468,申通快递,0.06
265,2018-02-27,002470,金正大,0.11
266,2018-02-27,002475,立讯精密,0.34
267,2018-02-27,002500,山西证券,0.11
268,2018-02-27,002508,老板电器,0.18
269,2018-02-27,002555,三七互娱,0.05
270,2018-02-27,002558,巨人网络,0.17
271,2018-02-27,002572,索菲亚,0.17
272,2018-02-27,002594,比亚迪,0.49
273,2018-02-27,002601,龙蟒佰利,0.1
274,2018-02-27,002602,世纪华通,0.12
275,2018-02-27,002608,江苏国信,0.05
276,2018-02-27,002624,完美世界,0.11
277,2018-02-27,002673,西部证券,0.16
278,2018-02-27,002714,牧原股份,0.14
279,2018-02-27,002736,国信证券,0.23
280,2018-02-27,002739,万达电影,0.21
281,2018-02-27,002797,第一创业,0.15
282,2018-02-27,002831,裕同科技,0.02
283,2018-02-27,002839,张家港行,0.02
284,2018-02-27,002841,视源股份,0.02
285,2018-02-27,300003,乐普医疗,0.24
286,2018-02-27,300015,爱尔眼科,0.19
287,2018-02-27,300017,网宿科技,0.15
288,2018-02-27,300024,机器人,0.17
289,2018-02-27,300027,华谊兄弟,0.14
290,2018-02-27,300033,同花顺,0.09
291,2018-02-27,300059,东方财富,0.35
292,2018-02-27,300070,碧水源,0.26
293,2018-02-27,300072,三聚环保,0.26
294,2018-02-27,300122,智飞生物,0.12
295,2018-02-27,300124,汇川技术,0.26
296,2018-02-27,300136,信维通信,0.27
297,2018-02-27,300144,宋城演艺,0.12
298,2018-02-27,300251,光线传媒,0.1
299,2018-02-27,300315,掌趣科技,0.12
